0,300,0,300,1
-712,788,-1277,215,0
-1596,873,-1619,124,1
937,533,-758,118,0
-1587,478,-1633,364,0
-1331,137,1008,116,0
402,15,1544,140,0
1802,-1193,-1418,300,0
251,662,-713,223,0
-1773,1702,-737,235,0
-1321,1786,-235,83,0
1601,1997,-378,86,0
141,1552,1427,273,0
-716,1037,1903,317,1
1214,650,557,133,0
1799,-304,217,217,0
137,-419,187,291,0
-1609,-1920,-1198,395,1
1280,82,596,255,0
122,1991,-1871,200,0
866,927,-1992,226,1
-1643,195,-1615,327,0
-910,-1813,-1429,152,0
-1686,-140,1685,184,0
17,53,1086,290,0
793,1598,276,275,0
-1850,-1257,967,357,0
1385,-235,667,64,0
563,-83,1177,129,0
-252,1389,336,69,1
-515,-1805,-369,51,0
-218,712,1921,170,0
977,-414,1254,197,0
135,771,202,67,0
29,1899,-489,338,0
1552,1291,986,114,0
-1623,-1229,-597,242,0
1603,1752,-1111,50,0
434,-719,-1762,197,0
-1700,-1700,-855,162,0
-357,959,-207,171,0
368,301,-394,137,0
-1512,-1657,-1345,357,0
214,-402,-653,363,0
124,1426,445,82,0
592,-481,-1018,231,0
-1729,403,-1456,277,0
-1870,-1471,156,214,0
542,1129,-799,231,0
-1176,-294,-114,380,0
1915,478,-1008,385,0
590,728,1368,91,0
1461,782,831,83,0
1853,1570,23,319,0
1985,-647,1517,297,0
-205,262,-1697,141,0
82,617,1559,299,0
1004,343,-707,279,0
-569,162,-1728,275,0
1506,287,-1129,226,0
1246,676,704,168,0
1485,-1824,1749,143,0
-1378,-795,771,123,0
1358,-1007,-1198,112,0
1244,1814,-657,237,0
1871,-1569,-193,295,0
-744,159,1049,366,0
-713,1801,-1935,197,0
440,-1397,-1796,57,0
-1069,-1272,698,174,0
-1802,1742,821,370,0
685,-1884,954,301,1
578,-1251,896,299,1
-1182,-1899,1322,262,0
590,-441,-1419,365,0
-1969,-876,-1100,368,0
-378,435,1292,353,0
-623,343,1946,128,0
1541,-1249,-1835,206,1
1104,712,-1969,59,0
746,-1640,722,361,0
-1195,-560,-1188,76,0
461,-1122,-572,113,0
1831,5,672,93,0
113,416,1965,378,0
-1270,-819,-1872,137,0
569,1923,-488,323,0
763,-1962,-1491,254,0
-1516,-149,1603,196,0
-849,-614,-474,371,0
912,1809,-255,326,0
191,-1190,1747,292,0
-581,1879,-1350,153,0
-205,718,1668,184,0
1096,1951,1346,314,0
1574,1762,611,364,0
1216,1332,93,221,0
-496,-1370,-1134,197,0
1975,-938,1318,350,0
1912,-957,-1532,129,0
1260,-941,-1489,305,0
136,-748,-632,281,0
254,1612,-909,162,0
-992,368,-446,331,0
-772,1226,1559,55,0
-643,-130,44,185,0
-1188,1137,979,129,0
532,1109,-1340,193,0
-1362,1158,153,100,0
234,-921,1875,301,0
1715,-442,897,374,0
-1542,180,-418,382,0
-516,1380,-511,256,0
-135,-1750,-909,370,0
-35,1069,1150,86,0
-1589,-116,1824,193,0
-98,946,1198,126,0
-350,1409,1568,145,0
182,1213,-721,217,0
321,606,691,73,0
934,614,1709,330,0
57,1204,748,61,0
921,326,-1338,140,1
-321,-674,-438,284,0
-1570,-1094,-234,112,0
-1990,1252,-1691,342,0
-366,-998,-731,372,0
-497,-600,-1047,351,1
-100,1313,-505,109,0
-356,186,-1310,149,0
-1540,-46,1307,130,0
-619,1426,1774,81,1
-1018,1940,279,115,0
8,1991,545,198,0
-1700,-1961,-1663,383,0
1084,374,-269,291,0
-526,-1909,731,262,0
-1708,-41,-211,204,0
1914,399,111,171,0
383,-1685,-1773,85,0
746,-1261,-748,161,0
-1187,-1178,322,279,1
1995,1116,-1346,284,0
536,1826,1128,198,0
-512,327,1185,324,0
-1035,-944,1953,213,0
-1222,1533,-276,340,0
-1888,589,333,91,0
737,-1612,1110,265,0
-979,1429,237,78,0
-1168,-1079,600,219,0
1409,-1751,-804,104,0
379,-459,-369,280,0
683,-1092,87,211,0
-327,1683,-199,110,0
319,803,1227,310,0
-1057,1858,1087,318,0
-1014,1201,-1276,281,0
779,248,253,250,0
-993,-949,22,221,0
-537,-46,-840,137,0
-1990,1918,-1321,57,0
366,930,-418,54,1
1106,-1549,-1989,62,0
-1157,641,-613,277,0
-1836,373,232,258,0
-1052,-1222,49,142,0
-1274,1271,-1475,320,0
-1000,-1136,-25,283,0
527,-549,177,310,0
1290,-1837,1883,112,0
1952,1163,-1333,390,0
-1571,1971,-1099,156,0
-460,-1823,-1986,283,0
-1654,-827,-1442,323,0
263,-255,-1231,241,0
1884,-263,-1583,98,0
444,1210,-337,202,0
732,-1732,-1860,59,0
338,397,-1180,126,0
-1673,-1717,-945,282,0
-1266,-597,-532,196,0
-1246,366,402,237,0
1883,464,561,192,0
-1935,140,1267,140,0
1717,1343,630,369,0
-1985,1220,-1664,262,0
1669,-1667,-77,304,0
-557,-1554,1332,229,1
331,1184,414,197,0
-1040,-964,1384,227,0
1394,463,182,74,0
1942,1389,-1060,86,0
-174,-466,1433,183,0
1835,-1284,-1485,241,0
943,1972,1487,224,0
1870,-1251,1781,349,1
1210,-17,-1054,100,0
794,1166,-1987,261,0
-236,-894,-317,335,0
-1234,1284,-848,234,0
-509,-1508,-617,258,1
-1302,-1216,741,262,0
884,-521,-951,346,0
1743,-349,-1575,382,0
1811,706,852,136,0
-1180,-1293,1221,283,0
759,1831,-1915,166,0
1344,775,183,256,0
73,1419,-178,345,0
-1446,-655,8,199,0
-1218,-24,-1592,164,0
993,-1711,445,128,0
-96,-1904,-641,145,1
-1932,1070,-1039,139,1
-463,1425,783,119,0
