0,300,0,300,1
-1433,495,1252,192,0
-318,-386,-1776,152,0
-1878,195,-1959,321,0
304,-1880,413,175,0
1508,-233,-1831,68,0
-601,-628,778,371,0
-816,-421,1881,139,0
-1629,-326,378,90,0
-573,1749,-215,324,1
1026,-808,707,345,0
-139,1507,-1419,272,1
1238,-84,-1328,342,0
-585,-420,-1906,246,0
-1802,-1269,1326,259,1
1052,-1250,406,240,0
-474,1586,-552,64,1
1738,1005,-1791,175,0
-1778,-528,-502,291,0
-1652,-1838,-207,353,0
676,-1904,-277,103,0
1689,-941,-1857,160,1
1232,-1829,1472,234,0
-74,-497,417,68,0
1063,-1885,780,161,0
1942,1971,-302,233,0
1027,1209,-221,329,0
360,76,879,112,0
633,494,1070,114,0
-1662,-1122,1330,252,0
-212,504,-261,92,0
-384,1532,884,169,0
1692,-417,-1421,285,0
-871,-291,-56,349,0
-60,-1509,-1002,267,0
-679,-869,-1960,152,0
-1412,827,1349,237,0
1330,-1733,-567,116,0
1522,-800,-1422,320,0
-755,-249,765,71,0
1218,-521,-1008,347,0
-875,-1494,-666,140,0
-104,1859,-1744,360,0
-1331,295,1836,135,0
-1358,1413,883,143,0
183,-1097,606,132,0
-1790,12,-1010,209,0
191,-1177,403,218,0
-1792,1765,-676,338,0
-1871,-427,-709,340,0
-22,1650,830,154,0
697,1005,-686,337,1
-1836,416,-1271,53,0
320,-1624,901,386,0
1547,-938,-363,56,0
-1155,-1044,1326,132,0
1005,1501,-1263,242,0
-1186,-914,-845,201,0
-1328,-892,-380,237,0
-1362,1039,1507,111,0
1880,1269,1600,285,0
1005,1520,1286,173,1
1263,-168,-415,100,0
1387,-1325,-1080,58,0
939,784,-96,368,0
-590,397,-104,243,0
-1046,-1643,-362,94,0
-1403,-22,1665,352,0
324,1558,1596,155,0
-1960,-1290,1835,116,1
483,1204,1842,127,1
1538,-1745,269,185,0
-1788,-87,1826,77,0
320,-1178,-1711,358,0
765,459,-1312,304,0
623,158,1695,144,1
317,2,-1464,169,0
-185,-1196,1049,120,0
-113,859,293,110,0
701,1878,1108,203,0
184,1226,-371,56,0
-1140,1822,1744,232,0
-675,991,-290,240,0
927,1388,35,363,0
-753,1980,811,159,0
-281,-1548,1122,316,0
1867,1055,-1200,262,0
1704,400,912,345,0
1600,1424,1458,241,0
1436,1382,1967,182,0
817,832,-762,153,1
-1021,-1771,-33,245,0
-1153,404,1682,91,0
-975,-269,728,164,0
776,1112,-1202,269,1
927,1915,-1453,330,0
81,-1248,356,266,0
-1563,-1977,435,69,0
-1014,-1314,868,379,0
1570,633,-1517,179,0
-400,163,-670,333,0
-1505,920,1256,162,0
-82,-1360,908,383,0
-490,-995,850,107,0
-742,966,1788,377,0
1793,1677,-1470,91,0
1217,1198,-1013,302,0
-952,-1424,1270,169,0
1135,-445,-350,105,0
-846,-1312,-330,358,0
1971,185,878,79,0
1501,-1114,-1417,92,0
1059,685,-1537,241,0
212,-124,-240,109,0
-443,-572,1816,166,0
785,-563,1122,186,0
-493,-33,-1889,221,0
-451,-935,1006,366,1
-755,1089,1887,230,0
281,970,-1155,64,0
307,1469,-62,62,0
-3,863,-1181,256,0
-1483,-1381,-1166,200,0
223,-1422,1966,192,0
-1755,995,1954,199,0
-858,279,1639,132,1
-1983,1015,1582,201,1
751,1881,-283,194,0
1953,651,-1859,363,0
-343,1383,1757,335,1
1309,-763,968,306,0
460,197,-435,256,0
1088,1084,74,63,0
1084,657,1352,361,0
-1868,-1689,-318,364,0
1415,1516,505,89,1
1509,1508,-1199,167,0
-529,-34,-1962,77,0
-1463,436,-1079,394,0
1292,-208,-260,219,0
305,632,830,396,0
1502,-1576,995,55,0
-1009,599,1687,389,1
1474,100,-1417,305,1
178,1247,453,290,0
-1730,303,187,98,0
-637,605,-596,151,0
-1168,-1062,457,52,0
-928,494,338,124,0
131,-1253,1435,375,0
783,-984,1278,248,0
1141,297,1499,372,1
-175,880,1224,156,0
1236,115,-201,176,1
-1903,-1677,-1638,224,1
-677,-789,-641,140,0
-1612,-192,832,228,0
-1530,-207,1781,239,0
-252,-918,722,300,0
-1169,-1880,-1303,389,0
-433,-1960,1852,200,0
-1416,-216,1507,96,0
161,-534,636,96,0
-278,-27,-78,57,0
-1819,1118,-1485,178,0
-364,1940,-1803,212,1
-500,303,1946,120,0
-1139,-1562,-258,122,0
1073,-646,996,194,0
98,658,-111,138,0
575,627,-1090,259,0
-652,-1500,1691,90,0
-1076,536,-1767,95,0
-1737,479,-1789,348,0
-1856,-878,-1465,53,0
1000,493,1551,284,0
1133,-789,-539,294,0
-1370,-474,1850,359,0
609,1999,538,125,0
-165,1111,1643,84,1
1145,573,991,373,0
1068,-575,-387,53,0
-1219,-1170,268,179,0
852,-871,1257,310,0
1716,650,-564,308,0
210,1645,1288,379,0
-73,-1448,1152,76,0
-1393,-4,-580,332,0
1524,1376,-1301,224,0
1362,-437,679,324,0
1241,1703,1637,236,0
226,1010,953,251,0
504,881,-1471,397,0
-870,-1385,-1148,70,1
737,157,-24,341,0
1524,1039,808,208,0
1348,1264,-586,134,0
-988,1402,-1885,102,0
33,-999,-301,374,0
-838,1591,-100,175,0
-53,667,276,113,0
-506,1265,118,97,0
1765,-200,-91,76,0
1521,1783,456,116,1
495,-1657,337,281,0
-1465,-1529,-420,77,0
425,1439,826,296,0
-1021,-1322,-1636,359,0
780,1960,267,241,0
1815,1169,1958,359,0
-38,-58,330,297,0
976,-581,-1932,293,0
-1426,1779,-519,63,0
-764,660,-1556,347,0
-1888,1327,-489,302,0
1405,-1912,1449,146,0
1630,1198,-1233,84,0
-69,1893,1295,383,0
-1764,1374,399,272,1
1576,1306,957,138,0
-130,-913,-1358,376,0
-983,26,-496,291,1
-814,-1516,275,379,0
-1525,1449,-987,102,0
1100,1340,1429,164,0
74,-1433,-1532,244,0
-1189,-1994,624,178,0
1908,-331,1922,328,0
252,-449,-889,165,0
1891,-1861,405,199,0
715,1045,-782,127,0
-606,-1868,-464,269,0
866,-1793,1278,372,0
-252,1581,603,238,0
-1753,1991,-1287,66,0
-830,70,660,359,0
-68,-1941,81,89,1
